Name NStars Mean_size FWHM FOCUS Median_E STD_E Median_E1 Median_E2 Median_W STD_W "Model E1" "Model E2" "Model W"
iabf01bxq_single_sci.fits 1118 2.6239 4.726 -1.0711 0.01970227311123735 0.011852817529439136 0.012325667640966396 -0.0032173320270258727 2.8609511532843506 0.09771858008642052 0.011597096218901974 -0.0024783468117071106 2.8523397703080815
iabf01bzq_single_sci.fits 1147 2.6232 4.7089 -1.4578 0.019767013680026715 0.011530553160892324 0.011780163278945219 -0.003508556331027758 2.858555059850171 0.08998503297957175 0.01078143702989409 -0.002726167362333155 2.844663622790003
iabf01ckq_single_sci.fits 1076 2.6233 4.7488 -1.5662 0.020617406933806984 0.011534188689115524 0.014260782150365602 -0.002942875254800508 2.857458868285672 0.10194853540610323 0.012616819610198327 -0.0025545352982311673 2.854000310408975
iabf01cmq_single_sci.fits 1102 2.6305 4.7484 -1.798 0.02050330818348635 0.011445201227764207 0.012792214280421207 -0.002512636705834093 2.8628803113946644 0.09155534056024929 0.011653687253199325 -0.0013009557748020835 2.8522231716465427
iabf01crq_single_sci.fits 1127 2.6211 4.7403 -1.2547 0.020078330634072803 0.01159220604440204 0.012026132680399487 -0.002526175411965099 2.858449454950293 0.1000547578468547 0.010591229199441369 -0.0021869763718534896 2.850272269736951
iabf01ctq_single_sci.fits 1116 2.6194 4.7422 -1.2547 0.01878884544165387 0.011515256347173378 0.012279227113585704 -0.0023902514206077217 2.8581029868360446 0.10015555018493842 0.010953393740032652 -0.002514205577625964 2.845678330737893
iabf02j2q_single_sci.fits 1158 2.6306 4.7324 -1.7998 0.020540867611993457 0.012028066435990756 0.013167042793746142 -0.0030581376225011594 2.867135209117556 0.09489920519686706 0.012472770028241388 -0.0032366081713926633 2.859424302118909
iabf02j4q_single_sci.fits 1188 2.632 4.7465 -2.3149 0.020001615055341523 0.011425852663265752 0.013123207913172914 -0.0031064675511578792 2.8706182995726675 0.09206064557510471 0.012074937530899691 -0.0029653669068961013 2.8622321187097226
iabf02jpq_single_sci.fits 1150 2.641 4.7824 -3.3804 0.020034427908072215 0.011863803048660802 0.012741340380369113 -0.0013615468440954523 2.874667622505422 0.11800145066082518 0.011247506201908935 -0.0005539209555457841 2.8611762811294374
iabf02jrq_single_sci.fits 1161 2.6412 4.768 -3.3405 0.020330258831191796 0.01181447481612972 0.013083459708054686 -0.0010566846764507505 2.875437579204446 0.10755884598661997 0.011618048952400364 -0.0011577328597420975 2.8637268857116283
